アイオーデータ 	(n) {comp} I-O DATA
アイオダイン 	(n) iodine
アイオライト 	(n) iolite (blue gemstone)
アイオリ 	(n) aioli (fre: aïoli)
アイオリソース;アイオリ・ソース 	(n) {food} aioli (eng: aioli sauce)
アイオワ 	(n) Iowa
アイカメラ 	(n) eye camera
アイキャッチ 	(n) short clip used to begin and end commercial breaks on Japanese TV (wasei: eyecatch)
アイキャッチャー;アイキャッチャ 	(n) eye-catcher
アイケア 	(n) eye care
アイケアグラス;アイケア・グラス 	(n) safety glasses (esp. more fashionable models used in public for protection against pollen, UV rays, etc.) (wasei: eye-care glass)
アイコ 	(n) (abbr) iced coffee
アイコニックインタフェース 	(n) {comp} iconic interface
アイコニックサイン 	(n) iconic signs
アイコニックメモリ 	(n) iconic memory
アイコニファイ 	(n) iconify
アイコノクラズム 	(n) iconoclasm
アイコノスコープ 	(n) iconoscope
アイコラ 	(n) (abbr) (See アイドルコラージュ) composite image of a celebrity (esp. an idol's face with the body of a nude model)
アイコン 	(n) {comp} icon
アイコンエディタ;アイコン・エディタ 	(n) {comp} icon editor
アイコンキャラクタ;アイコン・キャラクタ 	(n) {comp} icon character
アイコンタクト;アイ・コンタクト 	(n) eye contact
アイコンプ 	(n) {comp} iCOMP
アイコンボタン 	(n) {comp} icon button
アイゴー 	(int) argh (kor: aigo)
アイサイト 	(n) eyesight
アイサピ 	(n) {comp} ISAPI
アイサム 	(n) {comp} ISAM
アイシー 	(adj-na) icy
アイシーエムピー 	(n) {comp} ICMP
アイシーキュー 	(n) {comp} ICQ
アイシールド 	(n) {sports} eye shield
アイシェード 	(n) eyeshade
アイシクル 	(n) icicle
アイシャドウ(P);アイシャドー 	(n) eyeshadow
アイシュ 	(n) {comp} ish
アイシング 	(n) (1) {food} icing
アイシングザパック;アイシング・ザ・パック 	(exp,n) {sports} icing the puck (ice hockey)
アイシングラス;アイジングラス;アイシンググラス 	(n) isinglass
アイス 	(n) (1) ice (eng: ice, ger: Eis)
アイスアリーナ;アイス・アリーナ 	(n) ice arena
アイスウォーター;アイス・ウォーター 	(n) iced water
アイスキャンデー;アイスキャンディー;アイスキャンディ;アイス・キャンデー;アイス・キャンディー;アイス・キャンディ 	(n) ice pop (wasei: ice candy)
アイスキューブ;アイス・キューブ 	(n) ice cube
アイスクライミング;アイス・クライミング 	(n) ice climbing
アイスクリーム 	(n) ice cream
アイスクリームコーン;アイスクリーム・コーン 	(n) ice cream cone
アイスクリームサンデー;アイスクリーム・サンデー 	(n) ice cream sundae
アイスクリームソーダ;アイスクリーム・ソーダ 	(n) ice cream soda
アイスクリン 	(n) old fashioned-style ice cream (icecream)
アイスコーヒー(P);アイス・コーヒー 	(n) iced coffee
